index,HeartRate_bpm,Temperature_C,SpO2_percent,MotionLevel,State
1,74.0,36.6,100.0,3.0,Awake/Idle
2,74.0,36.8,99.0,1.0,Awake/Idle
3,60.0,36.5,97.0,1.0,Awake/Idle
4,65.0,36.6,96.0,3.0,Awake/Idle
5,65.0,36.5,100.0,1.0,Awake/Idle
6,61.0,36.7,95.0,2.0,Awake/Idle
7,68.0,36.9,97.0,2.0,Awake/Idle
8,70.0,36.6,95.0,1.0,Awake/Idle
9,76.0,36.9,97.0,1.0,Awake/Idle
10,72.0,36.8,95.0,1.0,Awake/Idle
11,76.0,36.6,95.0,1.0,Awake/Idle
12,71.0,36.8,99.0,1.0,Awake/Idle
13,77.0,36.6,99.0,3.0,Awake/Idle
14,70.0,36.9,96.0,2.0,Awake/Idle
15,65.0,37.0,96.0,2.0,Awake/Idle
16,67.0,36.9,96.0,2.0,Awake/Idle
17,63.0,36.7,99.0,2.0,Awake/Idle
18,62.0,36.8,98.0,3.0,Awake/Idle
19,65.0,36.6,100.0,2.0,Awake/Idle
20,65.0,36.7,95.0,1.0,Awake/Idle
21,78.0,36.8,98.0,3.0,Awake/Idle
22,78.0,36.6,100.0,1.0,Awake/Idle
23,79.0,36.5,97.0,1.0,Awake/Idle
24,65.0,36.9,100.0,2.0,Awake/Idle
25,63.0,36.6,97.0,1.0,Awake/Idle
26,71.0,36.6,96.0,1.0,Awake/Idle
27,70.0,36.8,98.0,3.0,Awake/Idle
28,66.0,36.6,99.0,2.0,Awake/Idle
29,62.0,36.7,98.0,2.0,Awake/Idle
30,63.0,37.0,98.0,1.0,Awake/Idle
31,68.0,36.9,97.0,3.0,Awake/Idle
32,70.0,36.7,97.0,1.0,Awake/Idle
33,66.0,36.6,96.0,2.0,Awake/Idle
34,65.0,36.8,98.0,3.0,Awake/Idle
35,69.0,36.9,96.0,2.0,Awake/Idle
36,66.0,36.6,99.0,1.0,Awake/Idle
37,68.0,36.8,100.0,2.0,Awake/Idle
38,76.0,36.8,99.0,2.0,Awake/Idle
39,61.0,36.7,95.0,3.0,Awake/Idle
40,77.0,36.5,99.0,1.0,Awake/Idle
41,63.0,36.7,100.0,3.0,Awake/Idle
42,62.0,36.8,95.0,3.0,Awake/Idle
43,78.0,36.7,96.0,1.0,Awake/Idle
44,61.0,36.8,99.0,1.0,Awake/Idle
45,75.0,37.0,97.0,2.0,Awake/Idle
46,79.0,36.8,98.0,2.0,Awake/Idle
47,74.0,36.6,100.0,1.0,Awake/Idle
48,78.0,36.6,100.0,3.0,Awake/Idle
49,66.0,36.7,97.0,3.0,Awake/Idle
50,72.0,36.5,98.0,2.0,Awake/Idle
51,71.0,36.9,98.0,3.0,Awake/Idle
52,74.0,36.7,97.0,3.0,Awake/Idle
53,75.0,37.0,96.0,1.0,Awake/Idle
54,75.0,36.8,95.0,2.0,Awake/Idle
55,64.0,36.6,99.0,1.0,Awake/Idle
56,80.0,37.0,95.0,3.0,Awake/Idle
57,75.0,36.6,96.0,1.0,Awake/Idle
58,65.0,36.6,97.0,3.0,Awake/Idle
59,72.0,36.5,98.0,1.0,Awake/Idle
60,68.0,36.5,97.0,3.0,Awake/Idle
61,63.0,36.6,96.0,3.0,Awake/Idle
62,61.0,37.0,98.0,3.0,Awake/Idle
63,68.0,36.5,96.0,2.0,Awake/Idle
64,75.0,36.7,98.0,2.0,Awake/Idle
65,77.0,36.6,96.0,3.0,Awake/Idle
66,75.0,36.7,96.0,2.0,Awake/Idle
67,60.0,36.8,98.0,2.0,Awake/Idle
68,67.0,36.5,96.0,2.0,Awake/Idle
69,79.0,36.9,95.0,1.0,Awake/Idle
70,61.0,36.9,98.0,2.0,Awake/Idle
71,79.0,36.7,95.0,1.0,Awake/Idle
72,73.0,36.7,95.0,1.0,Awake/Idle
73,61.0,36.7,100.0,1.0,Awake/Idle
74,80.0,36.6,98.0,2.0,Awake/Idle
75,69.0,36.7,98.0,1.0,Awake/Idle
76,74.0,36.6,96.0,1.0,Awake/Idle
77,69.0,36.6,95.0,2.0,Awake/Idle
78,71.0,36.7,99.0,1.0,Awake/Idle
79,66.0,36.7,99.0,1.0,Awake/Idle
80,67.0,36.9,95.0,2.0,Awake/Idle
81,66.0,36.9,100.0,3.0,Awake/Idle
82,80.0,36.6,99.0,2.0,Awake/Idle
83,75.0,36.7,100.0,2.0,Awake/Idle
84,70.0,36.9,100.0,3.0,Awake/Idle
85,64.0,36.7,98.0,1.0,Awake/Idle
86,61.0,36.9,95.0,3.0,Awake/Idle
87,60.0,36.7,100.0,3.0,Awake/Idle
88,71.0,36.5,97.0,3.0,Awake/Idle
89,63.0,36.8,97.0,2.0,Awake/Idle
90,65.0,37.0,98.0,1.0,Awake/Idle
91,66.0,36.9,96.0,3.0,Awake/Idle
92,79.0,36.9,98.0,1.0,Awake/Idle
93,70.0,36.9,96.0,3.0,Awake/Idle
94,72.0,36.9,99.0,1.0,Awake/Idle
95,80.0,36.8,95.0,3.0,Awake/Idle
96,75.0,36.7,100.0,1.0,Awake/Idle
97,68.0,36.6,100.0,1.0,Awake/Idle
98,76.0,36.9,97.0,2.0,Awake/Idle
99,67.0,37.0,100.0,2.0,Awake/Idle
100,65.0,36.9,99.0,1.0,Awake/Idle
101,71.0,36.8,97.0,2.0,Awake/Idle
102,65.0,36.9,98.0,1.0,Awake/Idle
103,78.0,36.7,95.0,2.0,Awake/Idle
104,74.0,36.8,97.0,2.0,Awake/Idle
105,80.0,36.8,96.0,1.0,Awake/Idle
106,63.0,37.0,100.0,1.0,Awake/Idle
107,78.0,36.9,97.0,1.0,Awake/Idle
108,65.0,37.0,98.0,1.0,Awake/Idle
109,76.0,36.5,99.0,2.0,Awake/Idle
110,63.0,36.9,96.0,2.0,Awake/Idle
111,72.0,36.9,97.0,1.0,Awake/Idle
112,79.0,36.8,95.0,2.0,Awake/Idle
113,80.0,36.9,96.0,2.0,Awake/Idle
114,67.0,36.8,99.0,1.0,Awake/Idle
115,78.0,36.6,96.0,1.0,Awake/Idle
116,71.0,36.8,98.0,2.0,Awake/Idle
117,74.0,36.7,97.0,1.0,Awake/Idle
118,76.0,36.7,100.0,1.0,Awake/Idle
119,61.0,36.7,100.0,3.0,Awake/Idle
120,68.0,36.8,95.0,1.0,Awake/Idle
121,65.0,36.5,96.0,2.0,Awake/Idle
122,71.0,36.6,97.0,1.0,Awake/Idle
123,63.0,37.0,96.0,2.0,Awake/Idle
124,69.0,36.9,95.0,2.0,Awake/Idle
125,77.0,37.0,98.0,1.0,Awake/Idle
126,74.0,36.9,99.0,1.0,Awake/Idle
127,66.0,36.9,98.0,3.0,Awake/Idle
128,77.0,36.8,97.0,1.0,Awake/Idle
129,74.0,36.8,95.0,2.0,Awake/Idle
130,65.0,36.6,97.0,3.0,Awake/Idle
131,70.0,36.6,100.0,3.0,Awake/Idle
132,75.0,36.9,96.0,3.0,Awake/Idle
133,63.0,36.7,99.0,1.0,Awake/Idle
134,76.0,36.7,100.0,2.0,Awake/Idle
135,67.0,36.6,96.0,2.0,Awake/Idle
136,73.0,37.0,98.0,1.0,Awake/Idle
137,75.0,36.8,98.0,1.0,Awake/Idle
138,73.0,36.8,97.0,1.0,Awake/Idle
139,65.0,36.9,95.0,3.0,Awake/Idle
140,67.0,36.9,100.0,2.0,Awake/Idle
141,80.0,36.6,98.0,3.0,Awake/Idle
142,64.0,36.5,97.0,1.0,Awake/Idle
