bpm,temp,Oxyg,motion,State
117.5,36.78,94.9,3.1,Stress/Panic
57.3,36.37,97.4,0.7,Sleeping
76.7,36.62,80.8,1.4,Hypoxia
57.3,36.51,96.2,0.6,Sleeping
58.3,36.35,96.9,0.5,Sleeping
61.1,36.71,97,0.6,Meditation
144.9,37.49,94.7,9,Running
103.2,37.26,97,2.1,Post-Workout
113,37.03,91.7,9.5,Seizure
111.3,36.88,95,3.5,Stress/Panic
104.9,37.3,97.5,1.8,Post-Workout
158.6,37.61,95.2,9,Running
73.2,36.76,97.8,2.2,Awake/Idle
117.7,36.95,92.1,9.3,Seizure
46.8,35.95,91.7,0.5,Fainting
56.8,36.29,97.5,0.5,Sleeping
58,36.45,97.5,0.4,Sleeping
108.8,37.21,97.5,2.4,Post-Workout
58.3,36.35,96.9,0.6,Sleeping
92.8,36.9,97.9,5.4,Walking
61.6,36.68,97.4,0.5,Meditation
107.8,37.26,97.4,2.4,Post-Workout
46.1,36.05,90.6,0.6,Fainting
59.5,36.36,96.9,0.5,Sleeping
82.5,36.48,78.1,1.1,Hypoxia
60.6,36.65,97.4,0.7,Meditation
59.1,36.72,96.8,0.7,Meditation
60.6,36.68,97.6,0.5,Meditation
58.3,36.7,97.7,0.7,Meditation
111.5,36.94,91.4,9.6,Seizure
57.4,36.31,97.7,0.4,Sleeping
69.7,36.75,98,2.1,Awake/Idle
39.5,35.55,85.3,0.5,Unconscious
157.7,37.35,94.3,9.2,Running
98.6,36.95,96.7,5.1,Walking
41.5,36.12,89.7,0.5,Fainting
110.1,36.81,95,3.3,Stress/Panic
40.2,35.55,86.3,0.8,Unconscious
113.8,36.91,94.2,3.5,Stress/Panic
41.2,35.6,84.2,0.6,Unconscious
151.8,37.4,94.8,8.7,Running
93.6,36.94,97.6,5.6,Walking
68.4,36.71,98.1,2.3,Awake/Idle
116.2,36.95,90.6,9.4,Seizure
44.3,35.74,90.5,0.5,Fainting
57.6,36.25,97.6,0.8,Sleeping
79.7,36.57,83.6,0.9,Hypoxia
120.7,37.05,91.5,9.5,Seizure
109.6,36.83,91.4,9.5,Seizure
58.2,36.47,97.3,0.7,Sleeping
147.8,37.5,96.4,9,Running
108,37.28,97.3,2.5,Post-Workout
58.1,36.7,97.7,0.5,Meditation
113.1,37.04,90.4,9.5,Seizure
70.3,36.77,97.4,1.7,Awake/Idle
87.5,36.41,79.5,1.3,Hypoxia
117.3,36.78,93.8,4,Stress/Panic
116.5,37.04,91.3,9.3,Seizure
81.5,36.33,82.2,0.5,Hypoxia
57.2,36.33,97.1,0.7,Sleeping
70.7,36.8,97.3,1.7,Awake/Idle
119,36.8,90.6,9.6,Seizure
104.8,37.3,97.1,2.1,Post-Workout
118.1,36.83,94,4.2,Stress/Panic
42.9,35.9,89.4,0.7,Fainting
55.9,36.27,97.1,0.7,Sleeping
44,36.07,90.7,0.6,Fainting
145.3,37.51,94.8,8.9,Running
118.1,37.13,92,9.3,Seizure
62.6,36.66,98,0.6,Meditation
58.3,36.43,97.3,0.6,Sleeping
39.3,36.1,89.7,0.2,Fainting
155.9,37.68,94.9,8.6,Running
71.3,36.79,96.6,1.7,Awake/Idle
45.5,36.11,91,0.5,Fainting
149.1,37.46,95.3,9,Running
60.3,36.69,96.9,0.2,Meditation
105.3,37.22,97.3,1.7,Post-Workout
37.5,35.93,85.3,0.6,Unconscious
144.3,37.51,95.2,9,Running
86.8,36.44,80.8,0.9,Hypoxia
106.9,37.24,97.8,2,Post-Workout
41.9,35.92,89.6,0.2,Fainting
157.2,37.44,95.2,9,Running
61.2,36.67,97.4,0.3,Meditation
116.6,36.9,94.6,3.3,Stress/Panic
69,36.69,97.9,2.2,Awake/Idle
38.3,35.71,84.6,0.3,Unconscious
113.4,37.23,92,9.6,Seizure
63.9,36.69,97.6,0.5,Meditation
113.9,36.9,94.9,3.9,Stress/Panic
43.8,35.88,90.7,0.6,Fainting
61.4,36.69,97.4,0.5,Meditation
118.9,36.94,92.1,9.6,Seizure
81.3,36.6,80.1,1.1,Hypoxia
116,36.99,91.6,9.5,Seizure
67.8,36.81,97.3,1.8,Awake/Idle
112.2,37.33,97.6,1.9,Post-Workout
155.1,37.46,95.2,9.3,Running
117.3,36.78,94.6,3.1,Stress/Panic
79.5,36.55,84.3,1,Hypoxia
154.9,37.52,94.8,9,Running
47.1,35.98,89.2,0.3,Fainting
42.7,35.98,91.7,0.8,Fainting
58.1,36.49,98.1,0.3,Sleeping
37.4,35.62,86,0.4,Unconscious
101.5,36.94,97.7,5.4,Walking
69,36.78,98.2,1.8,Awake/Idle
45.8,35.95,91,0.3,Fainting
148.1,37.55,95.1,8.7,Running
46.1,35.9,88,0.7,Fainting
72.2,36.76,97.1,1.7,Awake/Idle
71.9,36.5,78.7,1.3,Hypoxia
40.1,36.08,84.7,0.7,Unconscious
56.7,36.36,98.4,0.5,Sleeping
37,35.8,84.2,0.2,Unconscious
99.3,36.82,98,6.1,Walking
149.3,37.51,94.5,9.3,Running
40.3,35.77,85.5,0.4,Unconscious
45,36.08,89.1,0.5,Fainting
112.4,37.21,96.6,1.9,Post-Workout
151.6,37.34,94.7,9,Running
57.5,36.22,97.5,0.5,Sleeping
48,35.97,90.4,0.8,Fainting
92,36.92,96.9,5.1,Walking
77.5,36.28,80,1.1,Hypoxia
99.9,37.02,97.2,5.5,Walking
44.3,35.96,89.2,0.5,Fainting
93.3,36.92,97.4,5.5,Walking
57.9,36.38,97.2,0.5,Sleeping
44.1,36.11,89.3,0.6,Fainting
115,36.92,94.2,3.2,Stress/Panic
42,35.98,90.7,0.5,Fainting
47.4,36.07,90.6,0.4,Fainting
116.8,37.06,92,9.4,Seizure
104.3,37.16,97.9,2.1,Post-Workout
110.7,36.92,91.2,9.4,Seizure
111.3,36.94,92.6,9.7,Seizure
113.6,37.11,91.9,9.4,Seizure
42.1,35.9,85.6,0.8,Unconscious
57.8,36.33,97.7,0.4,Sleeping
58.5,36.55,97.9,0.7,Sleeping
43.6,35.96,90,0.6,Fainting
44.3,35.93,88.4,0.7,Fainting
67.5,36.66,97.6,2,Awake/Idle
146.4,37.55,94.8,8.9,Running
119.3,36.88,95.1,4.4,Stress/Panic
113.7,36.78,94.6,3.4,Stress/Panic
145.3,37.52,95.2,8.7,Running
110.9,36.7,95.2,2.9,Stress/Panic
141.1,37.44,95.6,9.1,Running
146,37.42,95.2,8.8,Running
95.9,36.96,98.3,5.3,Walking
59.7,36.66,97.7,0.5,Meditation
57,36.42,97.5,0.2,Sleeping
96.3,36.9,96.7,5.7,Walking
111,36.82,94.3,3.7,Stress/Panic
55.2,36.27,97.7,0.5,Sleeping
42.6,35.95,85.1,0.7,Unconscious
38.6,35.79,85.5,0.4,Unconscious
148.6,37.56,94.7,9.5,Running
60,36.72,97.4,0.6,Meditation
97.1,36.9,97.6,5.5,Walking
92,36.97,98.1,5.4,Walking
112.8,37.08,92.1,9.3,Seizure
70.9,36.74,97.1,2.1,Awake/Idle
58.8,36.36,96.7,0.4,Sleeping
73.2,36.66,97.1,2.4,Awake/Idle
71.9,36.69,97.7,2.4,Awake/Idle
104,37.24,98,1.8,Post-Workout
158.5,37.57,95.3,9.3,Running
80.6,36.49,82.5,1,Hypoxia
38.2,35.74,84.7,0.5,Unconscious
56.9,36.66,97.1,0.6,Meditation
81.9,36.58,78.6,1,Hypoxia
108.1,37.09,90.9,9.1,Seizure
113,36.83,94.7,3.9,Stress/Panic
70.1,36.74,97.1,1.9,Awake/Idle
94.5,36.94,97.1,5.8,Walking
59.1,36.62,97.2,0.6,Meditation
81.5,36.57,82.6,0.8,Hypoxia
145.8,37.37,95.2,9.2,Running
41.4,35.72,85.2,0.6,Unconscious
77.6,36.45,84.6,1.4,Hypoxia
55.5,36.48,97.5,0.6,Sleeping
104.5,37.18,97.6,2.9,Post-Workout
61,36.7,97.6,0.3,Meditation
68,36.82,97.2,2.1,Awake/Idle
113.1,36.84,94.4,3.1,Stress/Panic
40.3,35.7,84.6,0.4,Unconscious
80.6,36.44,80.2,0.9,Hypoxia
59.3,36.7,97.5,0.4,Meditation
122.5,36.94,92,9.9,Seizure
114.4,36.92,95,3.5,Stress/Panic
37.3,35.93,85.8,0.4,Unconscious
82.1,36.39,76,1.5,Hypoxia
42.9,35.72,83.6,0.7,Unconscious
74.5,36.52,78.6,0.9,Hypoxia
114.8,37,92,9.8,Seizure
103.5,37.27,96.6,2.1,Post-Workout
116.9,37.05,90.5,9.2,Seizure
108.7,36.97,90.9,9.8,Seizure
113.3,36.77,94.7,3,Stress/Panic
112.7,36.77,94.4,4,Stress/Panic
57.9,36.7,98.4,0.5,Meditation
108.4,37.32,97.8,1.7,Post-Workout
113.2,37.02,92,9.5,Seizure
143.4,37.46,95,9.2,Running
154.4,37.61,95.8,8.9,Running
46.8,36.04,88.3,0.3,Fainting
57.6,36.68,98.1,0.6,Meditation
71.8,36.82,97.2,2.4,Awake/Idle
71.7,36.48,83.8,1.2,Hypoxia
69.5,36.71,98.1,1.7,Awake/Idle
38,35.84,86.2,0.5,Unconscious
112.9,36.86,94.8,3.6,Stress/Panic
103.1,36.99,91.7,9.9,Seizure
93.2,36.89,97.4,6,Walking
75.6,36.48,82.6,0.5,Hypoxia
57.9,36.45,97.8,0.3,Sleeping
64.1,36.75,97.5,0.5,Meditation
46,36,88.7,0.4,Fainting
55.9,36.3,97.8,0.7,Sleeping
69.3,36.71,97.2,1.6,Awake/Idle
38.9,35.86,83.3,0.4,Unconscious
83.6,36.44,77.5,1.1,Hypoxia
57.4,36.26,98,0.8,Sleeping
61,36.67,97.5,0.6,Meditation
159.6,37.62,96.3,9.4,Running
109.5,37.31,96.8,2.1,Post-Workout
113.4,36.88,95,4.4,Stress/Panic
75.9,36.57,80.4,1.2,Hypoxia
72.7,36.81,97.7,2.4,Awake/Idle
110.9,36.85,94,3.8,Stress/Panic
145.3,37.48,94.6,9,Running
47.5,36.15,89.7,0.4,Fainting
65.7,36.75,97.3,1.7,Awake/Idle
149.4,37.43,95.9,9.1,Running
55.9,36.38,98.1,0.7,Sleeping
59,36.41,97.5,0.4,Sleeping
42.1,36.13,90.8,0.8,Fainting
71.4,36.78,97.2,1.8,Awake/Idle
116.1,36.89,94.9,3.1,Stress/Panic
71.2,36.71,98,2.4,Awake/Idle
147.4,37.51,95.4,9.5,Running
112.2,36.94,90.9,9.4,Seizure
57.8,36.49,98.7,0.5,Sleeping
108.7,37.1,92.5,9.5,Seizure
114.6,36.93,93.8,3.9,Stress/Panic
51.4,35.93,88.2,0.6,Fainting
37.2,35.68,84.7,0.4,Unconscious
74.6,36.52,79.2,1.2,Hypoxia
44.6,35.78,90.9,0.7,Fainting
81.5,36.52,80.3,0.8,Hypoxia
95.6,36.96,98.2,5.3,Walking
151.2,37.6,94.2,9.1,Running
100.7,37.28,97.6,1.8,Post-Workout
105.6,37.26,96.4,1.7,Post-Workout
41,35.68,85.6,0.7,Unconscious
147.3,37.47,94.7,8.8,Running
59.2,36.7,98,0.7,Meditation
149.1,37.53,96.4,9.2,Running
96.4,36.89,97.1,5.3,Walking
115.1,36.96,89.3,9.5,Seizure
110,36.8,91.8,9.4,Seizure
57.8,36.73,97.9,0.5,Meditation
105.7,37.24,97.4,2,Post-Workout
115.9,37.03,89.5,9.5,Seizure
92.2,36.99,97.8,5.9,Walking
81.9,36.3,81.9,0.9,Hypoxia
57.4,36.67,96.6,0.6,Meditation
107.5,37.23,97.1,2.2,Post-Workout
40.7,35.98,86.7,0.6,Unconscious
116.3,36.82,94.5,3.7,Stress/Panic
145.4,37.5,95.6,9.3,Running
70.7,36.72,98.3,1.7,Awake/Idle
154.1,37.38,94.7,8.8,Running
74,36.51,78,1.2,Hypoxia
85.6,36.49,79.7,0.7,Hypoxia
135.8,37.39,95,9.1,Running
86,36.41,82.5,0.7,Hypoxia
114.1,36.92,92.4,9.4,Seizure
114.2,36.76,93.9,3.1,Stress/Panic
118.1,37.02,95.1,3.1,Stress/Panic
107.8,37.35,97.1,1.9,Post-Workout
56.5,36.28,98.2,0.5,Sleeping
39,35.75,84.8,0.8,Unconscious
46.9,35.89,91.1,0.4,Fainting
84,36.6,79.2,0.9,Hypoxia
57.5,36.21,97.5,0.5,Sleeping
73.6,36.84,98,1.9,Awake/Idle
46.3,35.83,89,0.6,Fainting
58,36.33,97.1,0.7,Sleeping
80.7,36.58,78.7,0.8,Hypoxia
75.9,36.52,77.9,0.7,Hypoxia
69,36.75,97.4,2,Awake/Idle
71.8,36.44,86.5,1.3,Hypoxia
72.6,36.77,97.3,1.5,Awake/Idle
76.7,36.66,83.8,1,Hypoxia
68.6,36.72,96.7,2.2,Awake/Idle
47.9,35.99,89.2,0.4,Fainting
71.3,36.83,97.3,1.5,Awake/Idle
73.6,36.47,80.9,1.3,Hypoxia
57.8,36.49,97.1,0.6,Sleeping
143.5,37.6,95.7,9,Running
62.4,36.73,97.3,0.5,Meditation
97,37,97.6,5.7,Walking
114.4,36.93,94.3,3.7,Stress/Panic
114.2,36.83,94.8,3.2,Stress/Panic
56.8,36.71,97.8,0.6,Meditation
116.7,36.86,91.6,9.5,Seizure
39.1,35.79,85.3,0.6,Unconscious
68.1,36.7,97.5,2.2,Awake/Idle
116.9,37,91.6,9.3,Seizure
57.7,36.36,97.6,0.4,Sleeping
38.3,35.72,84.1,0.6,Unconscious
105.6,37.02,92.4,9.4,Seizure
51.9,36.08,88.5,0.4,Fainting
46.5,36.05,91.4,0.6,Fainting
97.6,36.92,96.1,4.8,Walking
148.6,37.52,94.1,8.9,Running
94.5,36.97,97.1,5.9,Walking
60.9,36.71,97.8,0.6,Meditation
105.9,37.24,96.8,2.2,Post-Workout
46.6,35.87,91.4,0.4,Fainting
118.1,36.83,94.6,3.6,Stress/Panic
75.6,36.41,78.8,1,Hypoxia
39.2,35.94,86.1,0.5,Unconscious
57.3,36.25,98.2,0.5,Sleeping
77.9,36.62,79.6,1.1,Hypoxia
57.2,36.73,96.1,0.6,Meditation
106.3,37.23,97.8,1.5,Post-Workout
106.7,37.26,97.3,1.9,Post-Workout
61.5,36.72,97.4,0.4,Meditation
48.3,35.92,91.7,0.6,Fainting
111.6,37.25,92,9.6,Seizure
115.8,36.87,92.1,9.4,Seizure
116.1,36.88,94.9,3.7,Stress/Panic
105.7,37.2,99.1,2.1,Post-Workout
50,36.16,87.6,0.1,Fainting
116.7,36.89,94.6,3.7,Stress/Panic
50.3,35.93,88.8,0.6,Fainting
43,35.41,84.7,0.5,Unconscious
42.9,35.82,86.3,0.8,Unconscious
61.3,36.71,98,0.2,Meditation
60.3,36.65,97,0.5,Meditation
111.1,36.94,94.9,3.6,Stress/Panic
158.5,37.37,96.1,8.9,Running
48.5,36.07,90,0.3,Fainting
151.6,37.6,94.3,8.9,Running
82.4,36.6,78,0.4,Hypoxia
55.8,36.72,97.9,0.7,Meditation
57.3,36.68,97,0.7,Meditation
120.2,37.12,91.7,9.2,Seizure
57.2,36.34,99,0.4,Sleeping
114.9,36.89,94.6,3.3,Stress/Panic
41.2,35.75,84.3,0.6,Unconscious
47.7,36.05,90.7,0.4,Fainting
110.4,37,90.7,9.4,Seizure
58.2,36.65,97.4,0.3,Meditation
56.4,36.38,97.7,0.3,Sleeping
107.9,37.01,91.8,9.3,Seizure
58.5,36.68,97.7,0.4,Meditation
41.9,35.8,85.3,0.6,Unconscious
102.7,37.25,95.8,2,Post-Workout
95,37.01,97.4,5.6,Walking
101,37.24,98.8,2.1,Post-Workout
113.7,36.97,92.4,9.7,Seizure
88.2,36.42,77.4,1.2,Hypoxia
