HeartRate_bpm,Temperature_C,SpO2_percent,MotionLevel,State
113,36.9,94,3,Stress/Panic
117,36.5,94,2,Stress/Panic
128,37,95,2,Stress/Panic
113,36.5,95,4,Stress/Panic
122,36.7,96,5,Stress/Panic
105,36.7,95,4,Stress/Panic
113,37.2,93,2,Stress/Panic
130,36.8,96,2,Stress/Panic
117,36.7,96,2,Stress/Panic
117,36.8,95,5,Stress/Panic
50,36.3,99,1,Sleeping
59,36.5,95,0,Sleeping
63,36,95,1,Sleeping
56,36.3,97,1,Sleeping
56,36.3,95,1,Sleeping
55,36.4,100,1,Sleeping
63,36.2,99,1,Sleeping
58,36.5,100,0,Sleeping
61,36.5,99,0,Sleeping
52,36.7,95,1,Sleeping
65,36.9,84,2,Hypoxia
81,36.6,72,1,Hypoxia
82,36.8,87,2,Hypoxia
92,36.9,89,2,Hypoxia
68,36.6,91,0,Hypoxia
62,36.2,75,1,Hypoxia
75,36.4,80,2,Hypoxia
85,36.8,82,1,Hypoxia
90,36.1,78,2,Hypoxia
67,36.9,70,1,Hypoxia
59,36.3,95,0,Sleeping
52,36.6,97,0,Sleeping
53,36.4,95,1,Sleeping
58,36.4,97,0,Sleeping
60,36.7,97,1,Sleeping
57,36.4,96,1,Sleeping
61,36.7,97,1,Sleeping
63,36.6,98,0,Sleeping
59,36.4,95,1,Sleeping
51,36.6,95,1,Sleeping
62,36.7,98,1,Sleeping
65,36.3,95,0,Sleeping
61,36.2,95,1,Sleeping
60,36.1,97,1,Sleeping
60,36.2,98,0,Sleeping
63,36.6,96,1,Sleeping
62,36.5,95,1,Sleeping
50,36.3,95,0,Sleeping
50,36.1,100,0,Sleeping
50,36.5,100,0,Sleeping
63,36.6,97,1,Meditation
68,36.8,99,1,Meditation
57,36.9,96,0,Meditation
62,36.8,97,1,Meditation
66,36.6,97,1,Meditation
52,36.6,95,1,Meditation
68,36.6,97,0,Meditation
57,36.8,96,0,Meditation
56,36.6,98,1,Meditation
62,36.8,98,0,Meditation
157,37.4,93,8,Running
125,37,97,10,Running
128,37.1,97,8,Running
161,37.3,93,10,Running
161,37.1,92,9,Running
180,37.9,94,8,Running
135,37.7,98,9,Running
130,37.9,93,9,Running
138,38,94,9,Running
134,37.5,96,10,Running
97,37,97,3,Post-Workout
118,37.3,97,2,Post-Workout
113,37.2,97,2,Post-Workout
91,37.5,98,2,Post-Workout
104,37.2,99,2,Post-Workout
91,37.1,96,3,Post-Workout
92,37.3,98,2,Post-Workout
116,37.5,96,2,Post-Workout
114,37.2,96,1,Post-Workout
96,37.3,96,2,Post-Workout
94,37.2,94,10,Seizure
139,36.8,91,10,Seizure
105,36.9,91,9,Seizure
94,37.3,89,10,Seizure
122,37.2,92,9,Seizure
120,37.5,94,10,Seizure
139,36.5,91,9,Seizure
108,37.3,95,9,Seizure
117,36.7,92,10,Seizure
92,36.9,88,9,Seizure
103,37.2,94,5,Stress/Panic
110,37,96,3,Stress/Panic
124,37,93,3,Stress/Panic
107,36.7,96,3,Stress/Panic
117,37.1,94,5,Stress/Panic
100,36.8,94,3,Stress/Panic
113,36.6,96,4,Stress/Panic
103,36.9,96,3,Stress/Panic
108,37,96,4,Stress/Panic
128,36.5,95,2,Stress/Panic
108,37.2,97,1,Post-Workout
102,37.1,100,1,Post-Workout
105,37.1,98,2,Post-Workout
91,37.2,97,2,Post-Workout
112,37.4,99,2,Post-Workout
115,37.4,95,3,Post-Workout
98,37.5,96,1,Post-Workout
106,37.4,96,3,Post-Workout
103,37.3,100,2,Post-Workout
109,37.4,97,1,Post-Workout
132,37.6,96,9,Running
159,37.4,96,8,Running
172,38,97,9,Running
170,37.7,93,10,Running
180,38,97,9,Running
149,37.1,98,8,Running
175,37.8,92,10,Running
134,37.2,92,10,Running
175,37.6,94,9,Running
140,37.7,97,8,Running
79,36.9,97,3,Awake/Idle
76,36.8,100,2,Awake/Idle
77,36.8,95,2,Awake/Idle
65,36.6,96,2,Awake/Idle
68,36.7,99,1,Awake/Idle
80,36.6,99,1,Awake/Idle
74,36.6,99,3,Awake/Idle
71,36.7,100,2,Awake/Idle
65,37,97,3,Awake/Idle
77,36.9,96,3,Awake/Idle
124,36.6,90,10,Seizure
116,36.9,94,9,Seizure
140,37.1,89,9,Seizure
105,36.9,94,9,Seizure
127,37,88,9,Seizure
122,37.5,94,10,Seizure
92,36.7,94,10,Seizure
137,37,90,9,Seizure
108,36.9,94,9,Seizure
106,36.9,94,9,Seizure
57,36.3,88,0,Fainting
39,35.6,93,0,Fainting
36,36.3,90,0,Fainting
54,36,94,0,Fainting
43,35.6,93,1,Fainting
39,35.7,89,1,Fainting
59,35.9,92,1,Fainting
58,35.9,94,0,Fainting
35,36,93,1,Fainting
48,36.2,91,1,Fainting
52,36.4,100,0,Sleeping
56,36.4,98,1,Sleeping
64,36.5,96,0,Sleeping
51,36.2,96,0,Sleeping
59,36.2,96,1,Sleeping
54,36.5,96,1,Sleeping
60,36.5,99,0,Sleeping
56,36.1,98,0,Sleeping
58,36.1,97,1,Sleeping
58,36,99,1,Sleeping
63,36.1,97,1,Sleeping
56,36.5,96,0,Sleeping
51,36.7,99,0,Sleeping
64,36.4,100,0,Sleeping
53,36.4,97,0,Sleeping
55,36.7,97,0,Sleeping
64,36.5,97,1,Sleeping
58,36.6,96,0,Sleeping
54,36.4,97,1,Sleeping
62,36.2,99,1,Sleeping
113,37.1,95,2,Post-Workout
117,37,95,1,Post-Workout
105,37,99,1,Post-Workout
105,37.5,98,3,Post-Workout
108,37.1,96,3,Post-Workout
106,37.2,100,3,Post-Workout
111,37.2,98,3,Post-Workout
102,37.2,99,3,Post-Workout
109,37.4,98,3,Post-Workout
112,37.4,97,2,Post-Workout
61,36,95,1,Sleeping
64,36.7,95,0,Sleeping
52,36.2,97,1,Sleeping
59,36.6,96,0,Sleeping
56,36.6,98,1,Sleeping
52,36.1,98,1,Sleeping
65,36.2,96,0,Sleeping
63,36.2,95,0,Sleeping
56,36.6,99,1,Sleeping
55,36.3,100,1,Sleeping
103,36.9,96,5,Walking
80,36.8,95,4,Walking
94,36.9,100,4,Walking
101,36.8,97,6,Walking
87,37,95,4,Walking
94,36.8,99,7,Walking
92,37,99,7,Walking
85,36.8,100,5,Walking
108,37,99,5,Walking
84,37,99,7,Walking
52,36.5,99,1,Meditation
64,36.8,99,0,Meditation
69,36.8,97,0,Meditation
70,36.5,95,0,Meditation
70,36.7,96,0,Meditation
63,36.7,99,0,Meditation
55,36.6,98,1,Meditation
65,36.6,95,1,Meditation
52,36.7,97,1,Meditation
56,36.9,99,1,Meditation
91,37.2,99,2,Post-Workout
109,37.1,96,2,Post-Workout
116,37.2,99,1,Post-Workout
108,37.4,95,3,Post-Workout
108,37.2,99,3,Post-Workout
113,37.2,100,3,Post-Workout
114,37.2,97,3,Post-Workout
118,37.4,95,3,Post-Workout
104,37.5,98,3,Post-Workout
97,37.2,96,1,Post-Workout
58,36.2,89,1,Fainting
30,36,88,1,Fainting
38,35.9,87,0,Fainting
56,35.9,91,0,Fainting
42,35.8,93,1,Fainting
44,36.1,90,1,Fainting
43,36.2,95,1,Fainting
60,36.3,94,0,Fainting
46,36.2,89,1,Fainting
